attack_id,start_time,end_time,start_index,end_index,target_tags,description,source_file,alignment_status,loaded_start_time,loaded_end_time,original_start_time,original_end_time,exclude_from_eval,duration,alignment_status_detail
1,2015-12-28 10:29:14,10:44:53,498554,499493,MV-101,,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-28 10:29:14,10:44:53,False,940,inside_loaded_range: clipped_to_loaded_timestamp_range
2,2015-12-28 10:51:08,10:58:30,499868,500310,P-102,,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-28 10:51:08,10:58:30,False,443,inside_loaded_range: clipped_to_loaded_timestamp_range
3,2015-12-28 11:22:00,11:28:22,501720,502102,LIT-101,,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-28 11:22:00,11:28:22,False,383,inside_loaded_range: clipped_to_loaded_timestamp_range
4,2015-12-28 11:47:39,11:54:08,503259,503648,MV-504,,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-28 11:47:39,11:54:08,False,390,inside_loaded_range: clipped_to_loaded_timestamp_range
5,2015-12-28 11:58:20,,,,No Physical Impact Attack,,dataset/SWat/List_of_attacks_Final.xlsx,timestamp_parse_failed,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-28 11:58:20,nan,True,0,could_not_parse_start_or_end_time
6,2015-12-28 12:00:55,12:04:10,504055,504250,AIT-202,,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-28 12:00:55,12:04:10,False,196,inside_loaded_range: clipped_to_loaded_timestamp_range
7,2015-12-28 12:08:25,12:15:33,504505,504933,LIT-301,,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-28 12:08:25,12:15:33,False,429,inside_loaded_range: clipped_to_loaded_timestamp_range
8,2015-12-28 13:10:10,13:26:13,508210,509173,DPIT-301,,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-28 13:10:10,13:26:13,False,964,inside_loaded_range: clipped_to_loaded_timestamp_range
9,2015-12-28 14:15:00,,,,No Physical Impact Attack,,dataset/SWat/List_of_attacks_Final.xlsx,timestamp_parse_failed,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-28 14:15:00,nan,True,0,could_not_parse_start_or_end_time
10,2015-12-28 14:16:20,14:19:00,512180,512340,FIT-401,,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-28 14:16:20,14:19:00,False,161,inside_loaded_range: clipped_to_loaded_timestamp_range
11,2015-12-28 14:19:00,14:28:20,512340,512900,FIT-401,,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-28 14:19:00,14:28:20,False,561,inside_loaded_range: clipped_to_loaded_timestamp_range
12,2015-12-29 11:10:40,,,,No Physical Impact Attack,,dataset/SWat/List_of_attacks_Final.xlsx,timestamp_parse_failed,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-29 11:10:40,nan,True,0,could_not_parse_start_or_end_time
13,2015-12-29 11:11:25,11:15:17,587485,587717,MV-304,,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-29 11:11:25,11:15:17,False,233,inside_loaded_range: clipped_to_loaded_timestamp_range
14,2015-12-29 11:35:40,11:42:50,588940,589370,Mv-303,,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-29 11:35:40,11:42:50,False,431,inside_loaded_range: clipped_to_loaded_timestamp_range
15,2015-12-29 11:52:01,,,,No Physical Impact Attack,,dataset/SWat/List_of_attacks_Final.xlsx,timestamp_parse_failed,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-29 11:52:01,nan,True,0,could_not_parse_start_or_end_time
16,2015-12-29 11:57:25,12:02:00,590245,590520,LIT-301,,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-29 11:57:25,12:02:00,False,276,inside_loaded_range: clipped_to_loaded_timestamp_range
17,2015-12-29 14:38:12,14:50:08,599891,600607,MV-303,,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-29 14:38:12,14:50:08,False,717,inside_loaded_range: clipped_to_loaded_timestamp_range
18,2015-12-29 18:08:55,,,,No Physical Impact Attack,,dataset/SWat/List_of_attacks_Final.xlsx,timestamp_parse_failed,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-29 18:08:55,nan,True,0,could_not_parse_start_or_end_time
19,2015-12-29 18:10:43,18:15:01,612642,612900,AIT-504,,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-29 18:10:43,18:15:01,False,259,inside_loaded_range: clipped_to_loaded_timestamp_range
20,2015-12-29 18:15:43,18:22:17,612942,613336,AIT-504,,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-29 18:15:43,18:22:17,False,395,inside_loaded_range: clipped_to_loaded_timestamp_range
21,2015-12-29 18:30:00,18:42:00,613799,614519,"MV-101, LIT-101",,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-29 18:30:00,18:42:00,False,721,inside_loaded_range: clipped_to_loaded_timestamp_range
22,2015-12-29 22:55:18,23:03:00,629717,630179,"UV-401, AIT-502, P-501",,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-29 22:55:18,23:03:00,False,463,inside_loaded_range: clipped_to_loaded_timestamp_range
