evaluation_type,window_id,attack_id,target_tag,p1_target_tag,method,candidate_action,t,step,predicted_LIT101,predicted_level,safe_low,safe_high,target_low,target_high,predicted_pump_state,predicted_mv101_state,selected
counterfactual_model_rollout,3,3,LIT101,LIT101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,0,0,590.1608574757397,590.1608574757397,494.7025,812.6498,515.3887,587.6138,P101=1;P102=0,0,1
counterfactual_model_rollout,3,3,LIT101,LIT101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,1,1,589.2894149514794,589.2894149514794,494.7025,812.6498,515.3887,587.6138,P101=1;P102=0,0,1
counterfactual_model_rollout,3,3,LIT101,LIT101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,2,2,588.4179724272192,588.4179724272192,494.7025,812.6498,515.3887,587.6138,P101=1;P102=0,0,1
counterfactual_model_rollout,3,3,LIT101,LIT101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,3,3,587.5465299029589,587.5465299029589,494.7025,812.6498,515.3887,587.6138,P101=1;P102=0,0,1
counterfactual_model_rollout,3,3,LIT101,LIT101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,4,4,587.5544636786987,587.5544636786987,494.7025,812.6498,515.3887,587.6138,P101=0;P102=0,0,1
counterfactual_model_rollout,3,3,LIT101,LIT101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,5,5,587.5623974544384,587.5623974544384,494.7025,812.6498,515.3887,587.6138,P101=0;P102=0,0,1
counterfactual_model_rollout,3,3,LIT101,LIT101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,6,6,587.5703312301781,587.5703312301781,494.7025,812.6498,515.3887,587.6138,P101=0;P102=0,0,1
counterfactual_model_rollout,3,3,LIT101,LIT101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,7,7,587.5782650059178,587.5782650059178,494.7025,812.6498,515.3887,587.6138,P101=0;P102=0,0,1
counterfactual_model_rollout,3,3,LIT101,LIT101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,8,8,587.5861987816576,587.5861987816576,494.7025,812.6498,515.3887,587.6138,P101=0;P102=0,0,1
counterfactual_model_rollout,3,3,LIT101,LIT101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,9,9,587.5941325573973,587.5941325573973,494.7025,812.6498,515.3887,587.6138,P101=0;P102=0,0,1
counterfactual_model_rollout,3,3,LIT101,LIT101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,10,10,587.602066333137,587.602066333137,494.7025,812.6498,515.3887,587.6138,P101=0;P102=0,0,1
counterfactual_model_rollout,3,3,LIT101,LIT101,R0_KEEP_CURRENT,R0_KEEP_CURRENT,11,11,587.6100001088768,587.6100001088768,494.7025,812.6498,515.3887,587.6138,P101=0;P102=0,0,1
