method,attack,time_to_safe_set,time_to_safe_after_attack,time_to_target_after_attack,time_to_recover_after_first_violation,recovery_success,safety_violation_duration,hard_safety_violation_duration,max_level_overshoot,max_level_undershoot,pump_empty_run_count,production,production_loss,action_cost,false_recovery_count,shield_intervention_count,trust_mask_accuracy,trust_detection_precision,trust_detection_recall,trust_detection_f1,one_step_rmse,multi_step_rollout_rmse,flow_deviation_cost,downstream_overload_risk
B1_FULL_SHUTDOWN,COMBINED_LIT101_FDI_MV101_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,519.9816847275008,0.0,0.0,0.0,53.92070588572832,237.5,0.0,0.0,0.9949999999999999,0.9895287958115183,0.984375,0.9869451697127938,1.904245106034739,4.258021502914971,53.92070588572832,0.0
B2_RULE_BASED_FALLBACK,COMBINED_LIT101_FDI_MV101_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,483.79665655735846,0.0,0.0,40.35066157115337,13.570044314574954,95.0,0.0,0.0,0.9490000000000001,0.6409439108956002,0.840625,0.7273244121445844,1.904245106034739,4.258021502914971,13.570044314574954,0.0
B3_ANOMALY_PRIORITY_RECOVERY,COMBINED_LIT101_FDI_MV101_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,483.79665655735846,0.0,0.0,40.35066157115337,13.570044314574954,76.0,0.0,0.0,0.9490000000000001,0.6409439108956002,0.840625,0.7273244121445844,1.904245106034739,4.258021502914971,13.570044314574954,0.0
B4_WORLD_MODEL_NO_TRUST,COMBINED_LIT101_FDI_MV101_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,473.6816081205119,0.0,0.0,53.49493490515615,0.4257709805721689,134.51999999999998,0.0,0.0,0.8696666666666667,1.0,0.5927083333333334,0.7438959167895056,1.904245106034739,4.258021502914971,0.4257709805721689,0.0
B5_FULL,COMBINED_LIT101_FDI_MV101_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,483.79665655735846,0.0,0.0,44.790661571153365,9.130044314574956,207.56000000000003,0.0,0.0,0.9863333333333333,0.962303664921466,0.9572916666666667,0.9597911227154047,1.904245106034739,4.258021502914971,9.130044314574956,0.0
B5_NO_ROOT_CAUSE,COMBINED_LIT101_FDI_MV101_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,483.79665655735846,0.0,0.0,40.35066157115337,13.570044314574954,95.0,0.0,0.0,0.9490000000000001,0.6409439108956002,0.840625,0.7273244121445844,1.904245106034739,4.258021502914971,13.570044314574954,0.0
B5_NO_SHIELD,COMBINED_LIT101_FDI_MV101_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,483.79665655735846,0.0,0.0,44.790661571153365,9.130044314574956,207.56000000000003,0.0,0.0,0.9863333333333333,0.962303664921466,0.9572916666666667,0.9597911227154047,1.904245106034739,4.258021502914971,9.130044314574956,0.0
B5_NO_TRUST,COMBINED_LIT101_FDI_MV101_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,473.6816081205119,0.0,0.0,53.49493490515615,0.4257709805721689,134.51999999999998,0.0,0.0,0.8696666666666667,1.0,0.5927083333333334,0.7438959167895056,1.904245106034739,4.258021502914971,0.4257709805721689,0.0
B5_NO_WORLD_MODEL,COMBINED_LIT101_FDI_MV101_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,483.79665655735846,0.0,0.0,40.35066157115337,13.570044314574954,76.0,0.0,0.0,0.9490000000000001,0.6409439108956002,0.840625,0.7273244121445844,1.904245106034739,4.258021502914971,13.570044314574954,0.0
B5_PROPOSED,COMBINED_LIT101_FDI_MV101_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,483.79665655735846,0.0,0.0,44.790661571153365,9.130044314574956,207.56000000000003,0.0,0.0,0.9863333333333333,0.962303664921466,0.9572916666666667,0.9597911227154047,1.904245106034739,4.258021502914971,9.130044314574956,0.0
B1_FULL_SHUTDOWN,LIT101_DRIFT,96.0,96.0,96.0,96.0,0.0,96.0,96.0,482.3333764903056,0.0,0.0,0.0,53.92070588572832,237.5,0.0,0.0,0.9816666666666667,0.9770102792155718,0.8854166666666666,0.9289489555348428,1.904245106034739,4.258021502914971,53.92070588572832,0.0
B2_RULE_BASED_FALLBACK,LIT101_DRIFT,96.0,96.0,96.0,96.0,0.0,96.0,96.0,495.71354863695194,0.0,0.0,27.05022078600704,26.870485099721282,95.0,0.0,0.0,0.9833333333333332,0.7003252462455878,0.8958333333333334,0.7860985372132789,1.904245106034739,4.258021502914971,26.870485099721282,0.0
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_DRIFT,96.0,96.0,96.0,96.0,0.0,96.0,96.0,487.8789563758308,0.0,0.0,16.985022354004418,36.935683531723896,75.92,0.0,0.0,0.982,0.8609974943252713,0.8875,0.8684094115604054,1.904245106034739,4.258021502914971,36.935683531723896,0.0
B4_WORLD_MODEL_NO_TRUST,LIT101_DRIFT,96.0,96.0,96.0,96.0,0.0,96.0,96.0,473.6816081205119,0.0,0.0,51.544274120870554,2.3764317648577573,6.32,0.0,0.0,0.9843333333333332,1.0,0.9020833333333333,0.9485137813006664,1.904245106034739,4.258021502914971,2.3764317648577573,0.0
B5_FULL,LIT101_DRIFT,96.0,96.0,96.0,96.0,0.0,96.0,96.0,495.71354863695194,0.0,0.0,27.05022078600704,26.870485099721282,102.80000000000003,0.0,0.0,0.9833333333333332,0.7003252462455878,0.8958333333333334,0.7860985372132789,1.904245106034739,4.258021502914971,26.870485099721282,0.0
B5_NO_ROOT_CAUSE,LIT101_DRIFT,96.0,96.0,96.0,96.0,0.0,96.0,96.0,495.71354863695194,0.0,0.0,27.05022078600704,26.870485099721282,95.0,0.0,0.0,0.9833333333333332,0.7003252462455878,0.8958333333333334,0.7860985372132789,1.904245106034739,4.258021502914971,26.870485099721282,0.0
