method,attack,seed,time_to_safe_set,time_to_safe_after_attack,time_to_target_after_attack,time_to_recover_after_first_violation,recovery_success,safety_violation_duration,hard_safety_violation_duration,max_level_overshoot,max_level_undershoot,pump_empty_run_count,production,production_loss,action_cost,false_recovery_count,shield_intervention_count,trust_mask_accuracy,trust_detection_precision,trust_detection_recall,trust_detection_f1,one_step_rmse,multi_step_rollout_rmse,evaluation_type,flow_deviation_cost,downstream_overload_risk
B5_FULL,COMBINED_LIT101_REPLAY_MV101_OPEN,0,96,96,96,96,0,96,96,716.3334443527908,0.0,0,48.637225492868254,5.283480392860078,221.5,0,0,0.8716666666666667,1.0,0.5989583333333334,0.749185667752443,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,5.2834803928600635,0
B5_FULL,COMBINED_LIT101_REPLAY_MV101_OPEN,1,96,96,96,96,0,96,96,716.3225948576917,0.0,0,49.03656470858266,4.884141177145672,221.0,0,0,0.8783333333333333,1.0,0.625,0.7692307692307693,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,4.884141177145658,0
B5_FULL,COMBINED_LIT101_REPLAY_MV101_OPEN,2,96,96,96,96,0,96,96,716.2965723360065,0.0,0,48.637225492868254,5.283480392860078,221.5,0,0,0.8966666666666667,1.0,0.6770833333333334,0.8074534161490683,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,5.2834803928600635,0
B5_FULL,COMBINED_LIT101_REPLAY_MV101_OPEN,3,96,96,96,96,0,96,96,716.3256630196607,0.0,0,48.637225492868254,5.283480392860078,221.5,0,0,0.8550000000000001,1.0,0.546875,0.7070707070707071,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,5.2834803928600635,0
B5_FULL,COMBINED_LIT101_REPLAY_MV101_OPEN,4,96,96,96,96,0,96,96,716.3692598997239,0.0,0,49.03656470858266,4.884141177145672,221.0,0,0,0.8766666666666666,1.0,0.6197916666666666,0.7652733118971061,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,4.884141177145658,0
B5_FULL,DELAYED_DETECTION_5_STEPS,0,96,96,96,96,0,96,96,495.80073987845685,0.0,0,30.409692158578565,23.511013727149766,173.0,0,0,0.9383333333333332,0.8115183246073299,0.8072916666666666,0.8093994778067886,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,23.511013727149752,0
B5_FULL,DELAYED_DETECTION_5_STEPS,1,96,96,96,96,0,96,96,495.68227196030625,0.0,0,29.411013727149758,24.509692158578574,170.60000000000002,0,0,0.9349999999999999,0.8010471204188482,0.796875,0.7989556135770234,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,24.50969215857856,0
B5_FULL,DELAYED_DETECTION_5_STEPS,2,96,96,96,96,0,96,96,495.89275616630937,0.0,0,29.910352942864165,24.010352942864166,171.8,0,0,0.9366666666666668,0.806282722513089,0.8020833333333334,0.804177545691906,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,24.010352942864152,0
B5_FULL,DELAYED_DETECTION_5_STEPS,3,96,96,96,96,0,96,96,495.77464924770356,0.0,0,29.910352942864165,24.010352942864166,171.8,0,0,0.9366666666666668,0.806282722513089,0.8020833333333334,0.804177545691906,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,24.010352942864152,0
B5_FULL,DELAYED_DETECTION_5_STEPS,4,96,96,96,96,0,96,96,495.7898113549604,0.0,0,29.910352942864165,24.010352942864166,171.8,0,0,0.9366666666666668,0.806282722513089,0.8020833333333334,0.804177545691906,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,24.010352942864152,0
B5_FULL,LIT101_DRIFT_HIGH_LEVEL,0,96,96,96,96,0,96,96,716.3334443527908,0.0,0,40.74251176715303,13.178194118575298,112.70000000000005,0,0,0.9833333333333332,1.0,0.8958333333333334,0.945054945054945,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,13.178194118575284,0
B5_FULL,LIT101_DRIFT_HIGH_LEVEL,1,96,96,96,96,0,96,96,716.3225948576917,0.0,0,41.14185098286744,12.778854902860893,112.20000000000003,0,0,0.9816666666666667,1.0,0.8958333333333334,0.945054945054945,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,12.778854902860878,0
B5_FULL,LIT101_DRIFT_HIGH_LEVEL,2,96,96,96,96,0,96,96,716.2965723360065,0.0,0,40.74251176715303,13.178194118575298,112.70000000000005,0,0,0.9833333333333332,1.0,0.8958333333333334,0.945054945054945,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,13.178194118575284,0
B5_FULL,LIT101_DRIFT_HIGH_LEVEL,3,96,96,96,96,0,96,96,716.3256630196607,0.0,0,41.14185098286744,12.778854902860893,112.20000000000005,0,0,0.985,1.0,0.90625,0.9508196721311475,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,12.778854902860878,0
B5_FULL,LIT101_DRIFT_HIGH_LEVEL,4,96,96,96,96,0,96,96,716.3692598997239,0.0,0,41.14185098286744,12.778854902860893,112.20000000000005,0,0,0.9816666666666667,1.0,0.8958333333333334,0.945054945054945,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,12.778854902860878,0
