method,attack,time_to_safe_set,time_to_safe_after_attack,time_to_target_after_attack,time_to_recover_after_first_violation,recovery_success,safety_violation_duration,hard_safety_violation_duration,max_level_overshoot,max_level_undershoot,pump_empty_run_count,production,production_loss,action_cost,false_recovery_count,shield_intervention_count,trust_mask_accuracy,trust_detection_precision,trust_detection_recall,trust_detection_f1,one_step_rmse,multi_step_rollout_rmse,flow_deviation_cost,downstream_overload_risk
B1_FULL_SHUTDOWN,COMBINED_LIT101_REPLAY_MV101_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,718.3329750948417,0.0,0.0,37.59859098258053,16.3221149031478,212.1,0.0,53.8,0.9949999999999999,1.0,0.984375,0.9921259842519685,1.904245106034739,4.258021502914971,16.322114903147785,0.0
B2_RULE_BASED_FALLBACK,COMBINED_LIT101_REPLAY_MV101_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,53.92070588572833,0.0,96.0,0.0,1.0,0.9949999999999999,1.0,0.984375,0.9921259842519685,1.904245106034739,4.258021502914971,1.4210854715202004e-14,0.0
B3_ANOMALY_PRIORITY_RECOVERY,COMBINED_LIT101_REPLAY_MV101_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,53.92070588572833,0.0,76.97999999999999,0.0,1.0,0.9949999999999999,1.0,0.984375,0.9921259842519685,1.904245106034739,4.258021502914971,1.4210854715202004e-14,0.0
B4_WORLD_MODEL_NO_TRUST,COMBINED_LIT101_REPLAY_MV101_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.2795068931747,0.0,0.0,46.73656470858266,7.184141177145669,160.09999999999997,0.0,0.0,0.8493333333333334,1.0,0.5333333333333334,0.6953406869473285,1.904245106034739,4.258021502914971,7.184141177145655,0.0
B5_FULL,COMBINED_LIT101_REPLAY_MV101_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,48.79696117915402,5.123744706574316,221.3,0.0,0.0,0.8756666666666668,1.0,0.6135416666666667,0.7596427744200188,1.904245106034739,4.258021502914971,5.123744706574302,0.0
B5_NO_ROOT_CAUSE,COMBINED_LIT101_REPLAY_MV101_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,53.92070588572833,0.0,96.0,0.0,1.0,0.9949999999999999,1.0,0.984375,0.9921259842519685,1.904245106034739,4.258021502914971,1.4210854715202004e-14,0.0
B5_NO_SHIELD,COMBINED_LIT101_REPLAY_MV101_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,48.79696117915402,5.123744706574316,221.3,0.0,0.0,0.8756666666666668,1.0,0.6135416666666667,0.7596427744200188,1.904245106034739,4.258021502914971,5.123744706574302,0.0
B5_NO_TRUST,COMBINED_LIT101_REPLAY_MV101_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.2795068931747,0.0,0.0,46.73656470858266,7.184141177145669,160.09999999999997,0.0,0.0,0.8493333333333334,1.0,0.5333333333333334,0.6953406869473285,1.904245106034739,4.258021502914971,7.184141177145655,0.0
B5_NO_WORLD_MODEL,COMBINED_LIT101_REPLAY_MV101_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,53.92070588572833,0.0,76.97999999999999,0.0,1.0,0.9949999999999999,1.0,0.984375,0.9921259842519685,1.904245106034739,4.258021502914971,1.4210854715202004e-14,0.0
B5_PROPOSED,COMBINED_LIT101_REPLAY_MV101_OPEN,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,48.79696117915402,5.123744706574316,221.3,0.0,0.0,0.8756666666666668,1.0,0.6135416666666667,0.7596427744200188,1.904245106034739,4.258021502914971,5.123744706574302,0.0
B1_FULL_SHUTDOWN,DELAYED_DETECTION_5_STEPS,96.0,96.0,96.0,96.0,0.0,96.0,96.0,519.9816847275008,0.0,0.0,0.0,53.92070588572833,225.0,0.0,0.0,0.9866666666666667,0.9633507853403142,0.9583333333333334,0.9608355091383812,1.904245106034739,4.258021502914971,53.92070588572832,0.0
