method,attack,time_to_safe_set,time_to_safe_after_attack,time_to_target_after_attack,time_to_recover_after_first_violation,recovery_success,safety_violation_duration,hard_safety_violation_duration,max_level_overshoot,max_level_undershoot,pump_empty_run_count,production,production_loss,action_cost,false_recovery_count,shield_intervention_count,trust_mask_accuracy,trust_detection_precision,trust_detection_recall,trust_detection_f1,one_step_rmse,multi_step_rollout_rmse,attack_period_rmse,trust_aware_reconstruction_rmse,raw_observation_rmse,full_rollback_rmse,partial_rollback_rmse
B1_FULL_SHUTDOWN,COMBINED_LIT101_FDI_MV101_OPEN,0.0,0.0,0.0,2.4,1.0,22.2,0.0,1.1998549427359166,0.0,0.0,83.96399999999997,6.8160000000000025,205.7,0.0,63.6,0.9949999999999999,1.0,0.984375,0.9921259842519685,5.233938163223094,14.935681911724927,5.7526087037406555,1.7285385543472156,24.00735809452446,1.7287281595273996,1.7285385543472156
B2_RULE_BASED_FALLBACK,COMBINED_LIT101_FDI_MV101_OPEN,0.0,0.0,0.0,0.6,1.0,3.4,0.0,0.2013236289662302,0.0,0.0,103.61999999999998,0.0,126.4,0.0,31.4,0.9949999999999999,1.0,0.984375,0.9921259842519685,7.069201116817878,19.81131139453019,7.815536419549265,1.288957235660402,24.00735809452446,1.2890874516205784,1.288957235660402
B3_ANOMALY_PRIORITY_RECOVERY,COMBINED_LIT101_FDI_MV101_OPEN,0.0,0.0,0.0,0.6,1.0,3.4,0.0,0.2013236289662302,0.0,0.0,103.61999999999998,0.0,113.67999999999999,0.0,31.4,0.9949999999999999,1.0,0.984375,0.9921259842519685,5.776013909237917,15.942833815848218,6.363247646472066,1.288957235660402,24.00735809452446,1.2890874516205784,1.288957235660402
B4_WORLD_MODEL_NO_TRUST,COMBINED_LIT101_FDI_MV101_OPEN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,140.38799999999998,0.0,181.04,0.0,0.0,0.8566666666666667,1.0,0.5520833333333334,0.7114093959731543,21.802585348016162,22.104110416840246,24.260521223560204,23.970908610006283,24.00735809452446,23.83712656023217,23.970908610006283
B5_PROPOSED,COMBINED_LIT101_FDI_MV101_OPEN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,137.87999999999997,0.0,169.5,0.0,0.0,0.9949999999999999,1.0,0.984375,0.9921259842519685,4.33343627618287,13.691681263202762,4.734058687429231,0.7840474012784748,24.00735809452446,0.7840836387051511,0.7840474012784748
B1_FULL_SHUTDOWN,LIT101_DRIFT,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,68.39999999999999,237.5,0.0,0.0,0.9873333333333333,1.0,0.9208333333333334,0.9587655795496136,4.1551705963257515,11.907989767513282,4.531844648041824,2.0017794192343397,19.254830528756724,1.9947038869437759,2.0017794192343397
B2_RULE_BASED_FALLBACK,LIT101_DRIFT,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,86.4,0.0,95.0,0.0,0.0,0.9833333333333332,0.7504803536750488,0.8958333333333334,0.816724213205903,1.658006537785233,4.605948767548703,1.5917049887690098,2.458404005275755,19.254830528756724,2.435130161782305,2.458404005275755
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_DRIFT,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,86.4,0.0,75.92,0.0,0.0,0.9833333333333332,0.7504803536750488,0.8958333333333334,0.816724213205903,1.5806008768242787,5.076155898678023,1.489866691805353,2.458404005275755,19.254830528756724,2.435130161782305,2.458404005275755
B4_WORLD_MODEL_NO_TRUST,LIT101_DRIFT,0.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,5.982001752212962,3.0,75.276,11.123999999999999,66.98,0.0,0.0,0.9826666666666666,0.9683077383677926,0.8916666666666666,0.9283891660727013,14.731929194874706,11.412925449367199,16.381696215031717,19.27872994451792,19.254830528756724,18.960404858145985,19.27872994451792
B5_PROPOSED,LIT101_DRIFT,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,86.4,0.0,73.4,0.0,0.0,0.9833333333333332,0.7504803536750488,0.8958333333333334,0.816724213205903,1.2809925191229452,3.9339012448152166,1.081420793596355,2.458404005275755,19.254830528756724,2.435130161782305,2.458404005275755
