method,attack,tag,precision,recall,f1,tp,fp,fn
B1_FULL_SHUTDOWN,COMBINED_LIT101_FDI_MV101_OPEN,LIT101,1.0,0.9895833333333334,0.9947643979057591,475,0,5
B1_FULL_SHUTDOWN,COMBINED_LIT101_FDI_MV101_OPEN,FIT101,,,,0,0,0
B1_FULL_SHUTDOWN,COMBINED_LIT101_FDI_MV101_OPEN,MV101,1.0,0.9791666666666666,0.9894736842105264,470,0,10
B1_FULL_SHUTDOWN,COMBINED_LIT101_FDI_MV101_OPEN,P101,,,,0,0,0
B1_FULL_SHUTDOWN,COMBINED_LIT101_FDI_MV101_OPEN,P102,,,,0,0,0
B1_FULL_SHUTDOWN,COMBINED_LIT101_FDI_MV101_OPEN,PLC1,,,,0,0,0
B1_FULL_SHUTDOWN,LIT101_DRIFT,LIT101,1.0,0.9208333333333333,0.9587852494577006,442,0,38
B1_FULL_SHUTDOWN,LIT101_DRIFT,FIT101,,,,0,0,0
B1_FULL_SHUTDOWN,LIT101_DRIFT,MV101,,,,0,0,0
B1_FULL_SHUTDOWN,LIT101_DRIFT,P101,,,,0,0,0
B1_FULL_SHUTDOWN,LIT101_DRIFT,P102,,,,0,0,0
B1_FULL_SHUTDOWN,LIT101_DRIFT,PLC1,,,,0,0,0
B1_FULL_SHUTDOWN,LIT101_FDI,LIT101,1.0,0.9895833333333334,0.9947643979057591,475,0,5
B1_FULL_SHUTDOWN,LIT101_FDI,FIT101,,,,0,0,0
B1_FULL_SHUTDOWN,LIT101_FDI,MV101,,,,0,0,0
B1_FULL_SHUTDOWN,LIT101_FDI,P101,,,,0,0,0
B1_FULL_SHUTDOWN,LIT101_FDI,P102,,,,0,0,0
B1_FULL_SHUTDOWN,LIT101_FDI,PLC1,,,,0,0,0
B1_FULL_SHUTDOWN,LIT101_REPLAY,LIT101,1.0,0.7916666666666666,0.8837209302325582,380,0,100
B1_FULL_SHUTDOWN,LIT101_REPLAY,FIT101,,,,0,0,0
B1_FULL_SHUTDOWN,LIT101_REPLAY,MV101,,,,0,0,0
B1_FULL_SHUTDOWN,LIT101_REPLAY,P101,,,,0,0,0
B1_FULL_SHUTDOWN,LIT101_REPLAY,P102,,,,0,0,0
B1_FULL_SHUTDOWN,LIT101_REPLAY,PLC1,,,,0,0,0
B1_FULL_SHUTDOWN,MV101_STUCK_CLOSED,LIT101,0.0,,,0,4,0
B1_FULL_SHUTDOWN,MV101_STUCK_CLOSED,FIT101,,,,0,0,0
B1_FULL_SHUTDOWN,MV101_STUCK_CLOSED,MV101,,0.0,,0,0,480
B1_FULL_SHUTDOWN,MV101_STUCK_CLOSED,P101,,,,0,0,0
B1_FULL_SHUTDOWN,MV101_STUCK_CLOSED,P102,,,,0,0,0
B1_FULL_SHUTDOWN,MV101_STUCK_CLOSED,PLC1,,,,0,0,0
B1_FULL_SHUTDOWN,MV101_STUCK_OPEN,LIT101,0.0,,,0,22,0
B1_FULL_SHUTDOWN,MV101_STUCK_OPEN,FIT101,,,,0,0,0
B1_FULL_SHUTDOWN,MV101_STUCK_OPEN,MV101,1.0,0.9791666666666666,0.9894736842105264,470,0,10
B1_FULL_SHUTDOWN,MV101_STUCK_OPEN,P101,,,,0,0,0
B1_FULL_SHUTDOWN,MV101_STUCK_OPEN,P102,,,,0,0,0
B1_FULL_SHUTDOWN,MV101_STUCK_OPEN,PLC1,,,,0,0,0
B1_FULL_SHUTDOWN,P101_FORCED_OFF,LIT101,0.0,,,0,4,0
B1_FULL_SHUTDOWN,P101_FORCED_OFF,FIT101,,,,0,0,0
B1_FULL_SHUTDOWN,P101_FORCED_OFF,MV101,,,,0,0,0
B1_FULL_SHUTDOWN,P101_FORCED_OFF,P101,,0.0,,0,0,480
B1_FULL_SHUTDOWN,P101_FORCED_OFF,P102,,,,0,0,0
B1_FULL_SHUTDOWN,P101_FORCED_OFF,PLC1,,,,0,0,0
B1_FULL_SHUTDOWN,normal,LIT101,,,,0,0,0
B1_FULL_SHUTDOWN,normal,FIT101,,,,0,0,0
B1_FULL_SHUTDOWN,normal,MV101,,,,0,0,0
B1_FULL_SHUTDOWN,normal,P101,,,,0,0,0
B1_FULL_SHUTDOWN,normal,P102,,,,0,0,0
B1_FULL_SHUTDOWN,normal,PLC1,0.0,,,0,15,0
B2_RULE_BASED_FALLBACK,COMBINED_LIT101_FDI_MV101_OPEN,LIT101,1.0,0.9895833333333334,0.9947643979057591,475,0,5
B2_RULE_BASED_FALLBACK,COMBINED_LIT101_FDI_MV101_OPEN,FIT101,,,,0,0,0
B2_RULE_BASED_FALLBACK,COMBINED_LIT101_FDI_MV101_OPEN,MV101,1.0,0.9791666666666666,0.9894736842105264,470,0,10
B2_RULE_BASED_FALLBACK,COMBINED_LIT101_FDI_MV101_OPEN,P101,,,,0,0,0
B2_RULE_BASED_FALLBACK,COMBINED_LIT101_FDI_MV101_OPEN,P102,,,,0,0,0
B2_RULE_BASED_FALLBACK,COMBINED_LIT101_FDI_MV101_OPEN,PLC1,,,,0,0,0
B2_RULE_BASED_FALLBACK,LIT101_DRIFT,LIT101,1.0,0.8958333333333334,0.945054945054945,430,0,50
B2_RULE_BASED_FALLBACK,LIT101_DRIFT,FIT101,,,,0,0,0
B2_RULE_BASED_FALLBACK,LIT101_DRIFT,MV101,,,,0,0,0
B2_RULE_BASED_FALLBACK,LIT101_DRIFT,P101,,,,0,0,0
B2_RULE_BASED_FALLBACK,LIT101_DRIFT,P102,,,,0,0,0
B2_RULE_BASED_FALLBACK,LIT101_DRIFT,PLC1,0.0,,,0,143,0
B2_RULE_BASED_FALLBACK,LIT101_FDI,LIT101,1.0,0.9895833333333334,0.9947643979057591,475,0,5
B2_RULE_BASED_FALLBACK,LIT101_FDI,FIT101,,,,0,0,0
B2_RULE_BASED_FALLBACK,LIT101_FDI,MV101,,,,0,0,0
B2_RULE_BASED_FALLBACK,LIT101_FDI,P101,,,,0,0,0
B2_RULE_BASED_FALLBACK,LIT101_FDI,P102,,,,0,0,0
B2_RULE_BASED_FALLBACK,LIT101_FDI,PLC1,0.0,,,0,240,0
B2_RULE_BASED_FALLBACK,LIT101_REPLAY,LIT101,1.0,0.9395833333333333,0.9688506981740065,451,0,29
B2_RULE_BASED_FALLBACK,LIT101_REPLAY,FIT101,,,,0,0,0
B2_RULE_BASED_FALLBACK,LIT101_REPLAY,MV101,,,,0,0,0
B2_RULE_BASED_FALLBACK,LIT101_REPLAY,P101,,,,0,0,0
B2_RULE_BASED_FALLBACK,LIT101_REPLAY,P102,,,,0,0,0
B2_RULE_BASED_FALLBACK,LIT101_REPLAY,PLC1,0.0,,,0,20,0
B2_RULE_BASED_FALLBACK,MV101_STUCK_CLOSED,LIT101,0.0,,,0,2,0
B2_RULE_BASED_FALLBACK,MV101_STUCK_CLOSED,FIT101,,,,0,0,0
B2_RULE_BASED_FALLBACK,MV101_STUCK_CLOSED,MV101,1.0,0.8333333333333334,0.9090909090909091,400,0,80
B2_RULE_BASED_FALLBACK,MV101_STUCK_CLOSED,P101,,,,0,0,0
B2_RULE_BASED_FALLBACK,MV101_STUCK_CLOSED,P102,,,,0,0,0
B2_RULE_BASED_FALLBACK,MV101_STUCK_CLOSED,PLC1,0.0,,,0,10,0
B2_RULE_BASED_FALLBACK,MV101_STUCK_OPEN,LIT101,,,,0,0,0
B2_RULE_BASED_FALLBACK,MV101_STUCK_OPEN,FIT101,,,,0,0,0
B2_RULE_BASED_FALLBACK,MV101_STUCK_OPEN,MV101,1.0,0.9791666666666666,0.9894736842105264,470,0,10
B2_RULE_BASED_FALLBACK,MV101_STUCK_OPEN,P101,,,,0,0,0
B2_RULE_BASED_FALLBACK,MV101_STUCK_OPEN,P102,,,,0,0,0
B2_RULE_BASED_FALLBACK,MV101_STUCK_OPEN,PLC1,0.0,,,0,5,0
B2_RULE_BASED_FALLBACK,P101_FORCED_OFF,LIT101,0.0,,,0,4,0
B2_RULE_BASED_FALLBACK,P101_FORCED_OFF,FIT101,,,,0,0,0
B2_RULE_BASED_FALLBACK,P101_FORCED_OFF,MV101,,,,0,0,0
B2_RULE_BASED_FALLBACK,P101_FORCED_OFF,P101,1.0,0.9791666666666666,0.9894736842105264,470,0,10
B2_RULE_BASED_FALLBACK,P101_FORCED_OFF,P102,,,,0,0,0
B2_RULE_BASED_FALLBACK,P101_FORCED_OFF,PLC1,,,,0,0,0
B2_RULE_BASED_FALLBACK,normal,LIT101,,,,0,0,0
B2_RULE_BASED_FALLBACK,normal,FIT101,,,,0,0,0
B2_RULE_BASED_FALLBACK,normal,MV101,,,,0,0,0
B2_RULE_BASED_FALLBACK,normal,P101,,,,0,0,0
B2_RULE_BASED_FALLBACK,normal,P102,,,,0,0,0
B2_RULE_BASED_FALLBACK,normal,PLC1,0.0,,,0,15,0
B3_ANOMALY_PRIORITY_RECOVERY,COMBINED_LIT101_FDI_MV101_OPEN,LIT101,1.0,0.9895833333333334,0.9947643979057591,475,0,5
B3_ANOMALY_PRIORITY_RECOVERY,COMBINED_LIT101_FDI_MV101_OPEN,FIT101,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,COMBINED_LIT101_FDI_MV101_OPEN,MV101,1.0,0.9791666666666666,0.9894736842105264,470,0,10
B3_ANOMALY_PRIORITY_RECOVERY,COMBINED_LIT101_FDI_MV101_OPEN,P101,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,COMBINED_LIT101_FDI_MV101_OPEN,P102,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,COMBINED_LIT101_FDI_MV101_OPEN,PLC1,,,,0,0,0
